部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
04无排行无提醒,粤PR5795,0.03,0.06,1.99,8.91,0,0,0,0,1,0.81,2019/8/15,95.18,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/15,100,未拔出
04无排行无提醒,粤B4C0S6,110.37,1304.83,10.68,2.87,38.46,3,34,0,0,1.57,2019/8/16,74.02,未拔出
04无排行无提醒,粤BP439V,15.28,15.28,1.85,0.72,21.22,16,24,0,0,0.5,2019/8/16,82.72,未拔出
04无排行无提醒,粤B3RC91,1.63,222.18,0.27,0.15,10.87,0,0,0,0,0.3,2019/8/16,92.66,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/16,100,未拔出
04无排行无提醒,粤PR5795,0,0.06,0,0,0,0,0,0,0,0,2019/8/16,100,未拔出
04无排行无提醒,粤B4C0S6,106.12,1410.95,10.1,2.55,41.62,3,32,0,0,0.96,2019/8/17,73.69,未拔出
04无排行无提醒,粤BP439V,29.04,44.32,4.91,2.36,12.31,62,67,1,0,0.75,2019/8/17,87.92,未拔出
04无排行无提醒,粤B3RC91,3.85,226.03,0.53,0.27,14.26,0,1,1,0,0.17,2019/8/17,96.67,未拔出
04无排行无提醒,粤PR5795,0,0.06,0,0,0,0,0,0,0,0,2019/8/17,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/17,100,未拔出
04无排行无提醒,粤B3RC91,11.67,237.7,1.77,0.73,15.99,2,3,1,0,0.35,2019/8/18,91.87,未拔出
04无排行无提醒,粤BP439V,7.83,52.15,1.15,0.52,15.06,15,19,0,0,0.49,2019/8/18,89.96,未拔出
04无排行无提醒,粤B4C0S6,6.95,1417.9,2.24,1.09,6.38,1,6,0,0,0,2019/8/18,93.3,未拔出
04无排行无提醒,粤PR5795,0.03,0.09,2.57,1.37,0.02,0,0,0,0,1.37,2019/8/18,91.37,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/18,100,未拔出
04无排行无提醒,粤B4C0S6,111.34,1529.24,10.13,2.88,38.66,3,33,0,0,1.25,2019/8/19,72.34,未拔出
04无排行无提醒,粤BP439V,28,80.15,3.72,1.43,19.58,56,62,0,0,0.12,2019/8/19,76.53,未拔出
04无排行无提醒,粤B3RC91,12.17,249.87,1.95,0.95,12.81,1,3,0,0,0.55,2019/8/19,90.66,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/19,100,未拔出
04无排行无提醒,粤PR5795,0,0.09,0,0,0,0,0,0,0,0,2019/8/19,100,未拔出
04无排行无提醒,粤B4C0S6,118.5,1647.74,10.95,2.79,42.47,1,23,0,0,1.61,2019/8/20,74.25,未拔出
04无排行无提醒,粤B3RC91,52.6,302.47,6.31,2.82,18.65,2,4,4,0,1.4,2019/8/20,90.3,未拔出
04无排行无提醒,粤BP439V,26.25,106.4,4.21,1.71,15.35,62,48,0,0,0.97,2019/8/20,80.92,未拔出
04无排行无提醒,粤PR5795,0.03,0.12,1.88,1.28,0.02,0,0,0,0,0.86,2019/8/20,97.54,未拔出
04无排行无提醒,粤STB959,0,0,0.16,0.08,0,0,0,0,0,0,2019/8/20,0,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/20,100,未拔出
04无排行无提醒,粤B4C0S6,107.16,1754.9,9.61,2.56,41.86,2,31,0,0,1.33,2019/8/21,72.82,未拔出
04无排行无提醒,粤BP439V,62.09,168.49,7.41,2.5,24.84,101,100,0,0,0.15,2019/8/21,66.59,未拔出
04无排行无提醒,粤PR5795,0.12,0.24,3.51,2.4,0.05,0,0,0,0,0,2019/8/21,99.07,未拔出
04无排行无提醒,粤STB959,0.04,371.52,0.08,0.18,0.22,0,0,0,0,0.18,2019/8/21,98.87,未拔出
04无排行无提醒,粤B3RC91,0,302.47,0,0,0,0,0,0,0,,2019/8/21,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,,2019/8/21,100,未拔出
04无排行无提醒,粤B4C0S6,109.4,1864.3,11.44,3.45,31.71,5,43,0,0,1.86,2019/8/22,77.23,未拔出
04无排行无提醒,粤BP439V,47.74,216.23,6.09,2.06,23.17,44,69,1,0,1.39,2019/8/22,70.42,未拔出
04无排行无提醒,粤B3RC91,23.53,326,3.69,1.54,15.28,0,1,2,0,0,2019/8/22,92.76,未拔出
04无排行无提醒,粤STB959,0.11,371.63,0.15,0.15,0.73,0,0,0,0,0.1,2019/8/22,98.99,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/22,100,未拔出
04无排行无提醒,粤PR5795,0,0.24,0,0,0,0,0,0,0,0,2019/8/22,100,未拔出
04无排行无提醒,粤B4C0S6,106.94,1971.24,10.08,2.66,40.2,1,25,0,0,1.25,2019/8/23,74.46,未拔出
04无排行无提醒,粤B0Y92H,22.36,22.36,4.89,0.94,23.79,2,21,0,0,0.23,2019/8/23,93.06,未拔出
04无排行无提醒,粤BP439V,0,216.23,0,0,0,0,0,0,0,0,2019/8/23,100,未拔出
04无排行无提醒,粤PR5795,0,0.24,0,0,0,0,0,0,0,0,2019/8/23,100,未拔出
04无排行无提醒,粤STB959,0,371.63,0,0,0,0,0,0,0,0,2019/8/23,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/23,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/8/23,100,未拔出
04无排行无提醒,粤B4C0S6,34.4,2005.64,7.07,2.62,13.13,2,43,0,0,0,2019/8/24,86.23,未拔出
04无排行无提醒,粤B0Y92H,33.12,55.48,8.5,1.89,17.52,11,41,0,0,0.14,2019/8/24,92.73,未拔出
04无排行无提醒,粤PR5795,0.03,0.27,1.33,0.72,0.04,0,0,0,0,0,2019/8/24,99.39,未拔出
04无排行无提醒,粤STB959,0.02,371.65,0.04,0.03,0.67,0,0,0,0,0,2019/8/24,99.9,未拔出
04无排行无提醒,粤BP439V,0,216.23,0,0,0,0,0,0,0,0,2019/8/24,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/24,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/8/24,100,未拔出
04无排行无提醒,粤BP439V,38.79,255.02,4.93,1.6,24.24,91,97,1,0,0,2019/8/25,77.51,未拔出
04无排行无提醒,粤B0Y92H,5.1,60.58,2.08,0.51,10,1,1,0,0,0,2019/8/25,96.07,未拔出
04无排行无提醒,粤B4C0S6,0.6,2006.24,0.27,0.12,5,0,0,0,0,0.12,2019/8/25,97.46,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/25,100,未拔出
04无排行无提醒,粤STB959,0,371.65,0,0,0,0,0,0,0,0,2019/8/25,100,未拔出
04无排行无提醒,粤PR5795,0,0.27,0,0,0,0,0,0,0,0,2019/8/25,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/8/25,100,未拔出
04无排行无提醒,粤B4C0S6,107.74,2113.98,10.09,2.75,39.18,3,23,0,0,1.33,2019/8/26,74.93,未拔出
04无排行无提醒,粤BP439V,63.77,318.79,8.87,3.69,17.28,96,117,1,0,0.64,2019/8/26,79.82,未拔出
04无排行无提醒,粤B0Y92H,16.85,77.43,3.45,0.87,19.37,7,14,0,0,0.1,2019/8/26,92.69,未拔出
04无排行无提醒,粤STB959,0.13,371.78,0.26,0.22,0.59,0,0,0,0,0,2019/8/26,99.8,未拔出
04无排行无提醒,粤PR5795,0.07,0.34,1.19,0.62,0.11,0,0,0,0,0.62,2019/8/26,97.55,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/26,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/8/26,100,未拔出
04无排行无提醒,粤B4C0S6,128.59,2242.57,13.37,3.82,33.66,7,34,0,0,2,2019/8/27,64.28,未拔出
04无排行无提醒,粤BP439V,76.09,394.88,10.94,3.88,19.61,157,191,2,0,0.73,2019/8/27,62.96,未拔出
04无排行无提醒,粤B0Y92H,21.75,99.18,5.27,1.12,19.42,5,26,0,0,0.15,2019/8/27,93.65,未拔出
04无排行无提醒,粤STB959,1.79,373.57,0.75,0.44,4.07,0,0,0,0,0,2019/8/27,98.39,未拔出
04无排行无提醒,粤PR5795,0,0.34,0,0,0,0,0,0,0,0,2019/8/27,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/8/27,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/27,100,未拔出
04无排行无提醒,粤B4C0S6,109.07,2351.64,10.74,3.03,36,2,25,0,0,1.57,2019/8/28,77.93,未拔出
04无排行无提醒,粤BP439V,46.66,441.54,6.58,2.45,19.04,89,82,1,0,0.09,2019/8/28,88.61,未拔出
04无排行无提醒,粤B0Y92H,26.86,126.04,7.33,1.43,18.78,15,31,0,0,0.15,2019/8/28,92.37,未拔出
04无排行无提醒,粤STB959,10.12,383.69,2.32,1.08,9.37,0,7,0,0,0.34,2019/8/28,94.69,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/28,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/8/28,100,未拔出
04无排行无提醒,粤PR5795,0,0.34,0,0,0,0,0,0,0,0,2019/8/28,100,未拔出
04无排行无提醒,粤B4C0S6,144.31,2495.95,15.04,4.39,32.87,3,50,0,0,2.87,2019/8/29,55.95,未拔出
04无排行无提醒,粤STB959,128.99,512.68,13.63,5.29,24.38,4,15,0,0,1.16,2019/8/29,80.47,未拔出
04无排行无提醒,粤BP439V,39.38,480.92,6.02,2.56,15.38,52,57,0,0,0.95,2019/8/29,87.5,未拔出
04无排行无提醒,粤B0Y92H,23.08,149.12,6.64,1.38,16.72,10,32,0,0,0,2019/8/29,84.83,未拔出
04无排行无提醒,粤PR5795,0,0.34,0,0,0,0,0,0,0,0,2019/8/29,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/29,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/8/29,100,未拔出
04无排行无提醒,粤B4C0S6,106.07,2602.02,10.81,3.06,34.66,3,27,1,0,1.79,2019/8/30,71.22,未拔出
04无排行无提醒,粤B0Y92H,64.99,214.11,17.25,3.34,19.46,35,93,0,0,0.32,2019/8/30,83.53,未拔出
04无排行无提醒,粤STB959,59.03,571.71,5.76,1.9,31.07,1,8,0,0,0.69,2019/8/30,86.37,未拔出
04无排行无提醒,粤BP439V,0.07,480.99,0.23,0.12,0.58,0,0,0,0,0.12,2019/8/30,98.86,未拔出
04无排行无提醒,粤PR5795,0.03,0.37,2.22,1.44,0.02,0,0,0,0,0.77,2019/8/30,96.48,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/8/30,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/30,100,未拔出
